Time, X (cm), Y (cm), Z (cm)
17:16:00.953, -5, 7, 55
17:16:02.238, -5, 7, 55
17:16:02.445, -5, 7, 55
17:16:02.656, -5, 7, 55
17:16:02.863, -5, 7, 55
17:16:03.077, -5, 7, 55
17:16:03.286, -5, 7, 55
17:16:03.495, -5, 7, 55
17:16:03.704, -5, 7, 55
17:16:03.912, -5, 7, 55
17:16:04.121, -5, 7, 55
17:16:04.328, -5, 7, 55
17:16:04.537, -5, 7, 55
17:16:04.746, -5, 7, 55
17:16:04.954, -5, 7, 55
17:16:05.163, -5, 7, 55
17:16:05.372, -5, 7, 55
17:16:05.580, -5, 7, 55
17:16:05.789, -5, 7, 55
17:16:05.997, -5, 7, 55
17:16:06.205, -5, 7, 55
17:16:06.414, -5, 7, 55
17:16:06.623, -5, 7, 55
17:16:06.830, -5, 7, 55
17:16:07.039, -5, 7, 55
17:16:07.247, -5, 7, 55
17:16:07.456, -5, 7, 55
17:16:07.665, -5, 7, 55
17:16:07.872, -5, 7, 55
17:16:08.083, -5, 7, 55
17:16:08.290, -5, 7, 55
17:16:08.498, -5, 7, 55
17:16:08.706, -5, 7, 55
17:16:08.915, -5, 7, 55
17:16:09.123, -5, 7, 55
17:16:09.331, -5, 7, 55
17:16:09.540, -5, 7, 55
17:16:09.749, -5, 7, 55
17:16:09.956, -5, 7, 55
17:16:10.165, -5, 7, 55
17:16:10.374, -5, 7, 55
17:16:10.582, -5, 7, 55
17:16:10.791, -5, 7, 55
17:16:10.999, -5, 7, 55
17:16:11.207, -5, 7, 55
17:16:11.416, -5, 7, 55
17:16:11.624, -5, 7, 55
17:16:11.832, -5, 7, 55
17:16:12.041, -5, 7, 55
17:16:12.249, -5, 7, 55
17:16:12.457, -5, 7, 55
17:16:12.666, -5, 7, 55
17:16:12.874, -5, 7, 55
17:16:13.083, -5, 7, 55
17:16:13.291, -5, 7, 55
17:16:13.500, -5, 7, 55
17:16:13.707, -5, 7, 55
17:16:13.916, -5, 7, 55
17:16:14.125, -5, 7, 55
17:16:14.333, -5, 7, 55
17:16:14.542, -5, 7, 55
17:16:14.749, -5, 7, 55
17:16:14.958, -5, 7, 55
17:16:15.166, -5, 7, 55
17:16:15.375, -5, 7, 55
17:16:15.583, -5, 7, 55
17:16:15.790, -5, 7, 55
17:16:16.000, -5, 7, 55
17:16:16.208, -5, 7, 55
17:16:16.416, -5, 7, 55
17:16:16.624, -5, 7, 55
17:16:16.833, -5, 7, 55
17:16:17.040, -5, 7, 55
17:16:17.249, -5, 7, 55
17:16:17.458, -5, 7, 55
17:16:17.666, -5, 7, 55
17:16:17.874, -5, 7, 55
17:16:18.083, -5, 7, 55
